  ====================================================
  TEXSTAN(academic)
  s31.dat, lam, pipe, CEF, q"s(x)                                         
  stepsize: variable from dx=  .010 to dx= 1.000
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 8.25000E+02  vis= 2.10000E-01  sp_ht= 2.00000E+03
     prc(je)= 5000.000
  initial profiles: kstart=  2  dyi= 5.000E-04  rate=  .0900
  laminar flow
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  ====================================================

   input Reynolds number= 1.0000E+03 (not TEXSTAN-calculated value)
   Reynolds number= 1.0002E+03    Prandtl number= 5000.000
   U,mean = 5.0920E+00            d,h = 5.0000E-02
   viscom = 2.1000E-01            rhom  = 8.2500E+02

  ====================================================

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
    0 0.000E+00 0.000E+00 1.199E-02 1.199E-02  8.239E+00 -8.239E+00
               y(i)           u(i)         f(1,i)         f(2,i)         f(3,i)
       2.397271E-02   1.203533E+00   3.006006E+02   0.000000E+00   0.000000E+00
       2.406326E-02   1.101585E+00   3.006112E+02   0.000000E+00   0.000000E+00
       2.414634E-02   1.007350E+00   3.006210E+02   0.000000E+00   0.000000E+00
       2.422256E-02   9.203033E-01   3.006301E+02   0.000000E+00   0.000000E+00
       2.429249E-02   8.399441E-01   3.006383E+02   0.000000E+00   0.000000E+00
       2.435664E-02   7.657998E-01   3.006459E+02   0.000000E+00   0.000000E+00
       2.441549E-02   6.974237E-01   3.006529E+02   0.000000E+00   0.000000E+00
       2.446949E-02   6.343957E-01   3.006593E+02   0.000000E+00   0.000000E+00
       2.451903E-02   5.763212E-01   3.006652E+02   0.000000E+00   0.000000E+00
       2.456447E-02   5.228309E-01   3.006706E+02   0.000000E+00   0.000000E+00
       2.460617E-02   4.735797E-01   3.006755E+02   0.000000E+00   0.000000E+00
       2.464442E-02   4.282458E-01   3.006801E+02   0.000000E+00   0.000000E+00
       2.467951E-02   3.865293E-01   3.006843E+02   0.000000E+00   0.000000E+00
       2.471171E-02   3.481515E-01   3.006881E+02   0.000000E+00   0.000000E+00
       2.474125E-02   3.128534E-01   3.006916E+02   0.000000E+00   0.000000E+00
       2.476835E-02   2.803948E-01   3.006948E+02   0.000000E+00   0.000000E+00
       2.479321E-02   2.505533E-01   3.006978E+02   0.000000E+00   0.000000E+00
       2.481602E-02   2.231226E-01   3.007004E+02   0.000000E+00   0.000000E+00
       2.483694E-02   1.979122E-01   3.007027E+02   0.000000E+00   0.000000E+00
       2.485614E-02   1.747458E-01   3.007047E+02   0.000000E+00   0.000000E+00
       2.487375E-02   1.534605E-01   3.007061E+02   0.000000E+00   0.000000E+00
       2.488991E-02   1.339061E-01   3.007070E+02   0.000000E+00   0.000000E+00
       2.490474E-02   1.159438E-01   3.007075E+02   0.000000E+00   0.000000E+00
       2.491834E-02   9.944579E-02   3.007075E+02   0.000000E+00   0.000000E+00
       2.493081E-02   8.429411E-02   3.007071E+02   0.000000E+00   0.000000E+00
       2.494226E-02   7.038012E-02   3.007065E+02   0.000000E+00   0.000000E+00
       2.495276E-02   5.760373E-02   3.007058E+02   0.000000E+00   0.000000E+00
       2.496240E-02   4.587278E-02   3.007049E+02   0.000000E+00   0.000000E+00
       2.497124E-02   3.510246E-02   3.007040E+02   0.000000E+00   0.000000E+00
       2.497934E-02   2.521467E-02   3.007031E+02   0.000000E+00   0.000000E+00
       2.498678E-02   1.613755E-02   3.007023E+02   0.000000E+00   0.000000E+00
       2.499517E-02   5.898236E-03   3.007013E+02   0.000000E+00   0.000000E+00
       2.500000E-02   0.000000E+00   3.007007E+02   0.000000E+00   0.000000E+00

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
   70 2.000E-01 2.426E-02 1.199E-02 1.199E-02  8.239E+00 -8.563E+00
               y(i)           u(i)         f(1,i)         f(2,i)         f(3,i)
       0.000000E+00   0.000000E+00   3.007224E+02   0.000000E+00   0.000000E+00
       4.827982E-06   5.898126E-03   3.007218E+02   0.000000E+00   0.000000E+00
       1.321582E-05   1.613725E-02   3.007208E+02   0.000000E+00   0.000000E+00
       2.065586E-05   2.521419E-02   3.007199E+02   0.000000E+00   0.000000E+00
       2.876540E-05   3.510179E-02   3.007190E+02   0.000000E+00   0.000000E+00
       3.760476E-05   4.587190E-02   3.007179E+02   0.000000E+00   0.000000E+00
       4.723964E-05   5.760260E-02   3.007168E+02   0.000000E+00   0.000000E+00
       5.774164E-05   7.037873E-02   3.007155E+02   0.000000E+00   0.000000E+00
       6.918882E-05   8.429243E-02   3.007141E+02   0.000000E+00   0.000000E+00
       8.166623E-05   9.944378E-02   3.007127E+02   0.000000E+00   0.000000E+00
       9.526660E-05   1.159414E-01   3.007110E+02   0.000000E+00   0.000000E+00
       1.100910E-04   1.339033E-01   3.007093E+02   0.000000E+00   0.000000E+00
       1.262496E-04   1.534572E-01   3.007074E+02   0.000000E+00   0.000000E+00
       1.438624E-04   1.747420E-01   3.007053E+02   0.000000E+00   0.000000E+00
       1.630604E-04   1.979079E-01   3.007030E+02   0.000000E+00   0.000000E+00
