  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 1.17700E+00  vis= 1.83800E-05  sp_ht= 1.00500E+03
     prc(je)=     .707
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 2.100E+01 1.050E-02 2.590E+00 2.588E+01  9.316E-03

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    88 8.143E-04 1.380E+01 3.569E+00 9.201E-01 8.683E-01  0.000E+00
    89 8.504E-04 1.402E+01 3.727E+00 9.349E-01 8.872E-01  0.000E+00
    90 8.863E-04 1.421E+01 3.885E+00 9.475E-01 9.041E-01  0.000E+00
    91 9.222E-04 1.437E+01 4.042E+00 9.580E-01 9.190E-01  0.000E+00
    92 9.580E-04 1.450E+01 4.199E+00 9.668E-01 9.320E-01  0.000E+00
    93 9.937E-04 1.461E+01 4.355E+00 9.740E-01 9.433E-01  0.000E+00
    94 1.029E-03 1.470E+01 4.512E+00 9.798E-01 9.531E-01  0.000E+00
    95 1.065E-03 1.477E+01 4.668E+00 9.845E-01 9.615E-01  0.000E+00
    96 1.100E-03 1.482E+01 4.823E+00 9.882E-01 9.686E-01  0.000E+00
    97 1.136E-03 1.487E+01 4.979E+00 9.912E-01 9.745E-01  0.000E+00
    98 1.171E-03 1.490E+01 5.134E+00 9.934E-01 9.795E-01  0.000E+00
    99 1.207E-03 1.493E+01 5.289E+00 9.952E-01 9.836E-01  0.000E+00
   100 1.242E-03 1.495E+01 5.445E+00 9.965E-01 9.870E-01  0.000E+00
   101 1.278E-03 1.496E+01 5.600E+00 9.975E-01 9.898E-01  0.000E+00
   102 1.313E-03 1.497E+01 5.755E+00 9.982E-01 9.920E-01  0.000E+00
   103 1.348E-03 1.498E+01 5.909E+00 9.987E-01 9.938E-01  0.000E+00
   104 1.384E-03 1.499E+01 6.064E+00 9.991E-01 9.953E-01  0.000E+00
   105 1.419E-03 1.499E+01 6.219E+00 9.994E-01 9.964E-01  0.000E+00
   106 1.454E-03 1.499E+01 6.374E+00 9.996E-01 9.973E-01  0.000E+00
   107 1.490E-03 1.500E+01 6.529E+00 9.997E-01 9.979E-01  0.000E+00
   108 1.525E-03 1.500E+01 6.683E+00 9.998E-01 9.985E-01  0.000E+00
   109 1.560E-03 1.500E+01 6.838E+00 9.999E-01 9.989E-01  0.000E+00
   110 1.595E-03 1.500E+01 6.993E+00 9.999E-01 9.992E-01  0.000E+00
   111 1.631E-03 1.500E+01 7.148E+00 9.999E-01 9.994E-01  0.000E+00
   112 1.666E-03 1.500E+01 7.302E+00 1.000E+00 9.996E-01  0.000E+00
   113 1.701E-03 1.500E+01 7.457E+00 1.000E+00 9.997E-01  0.000E+00
   114 1.737E-03 1.500E+01 7.612E+00 1.000E+00 9.998E-01  0.000E+00
   115 1.772E-03 1.500E+01 7.767E+00 1.000E+00 9.998E-01  0.000E+00
   116 1.807E-03 1.500E+01 7.921E+00 1.000E+00 9.999E-01  0.000E+00
   117 1.843E-03 1.500E+01 8.076E+00 1.000E+00 9.999E-01  0.000E+00
   118 1.878E-03 1.500E+01 8.231E+00 1.000E+00 9.999E-01  0.000E+00
   119 1.913E-03 1.500E+01 8.386E+00 1.000E+00 1.000E+00  0.000E+00
   120 1.948E-03 1.500E+01 8.540E+00 1.000E+00 1.000E+00  0.000E+00
   121 1.984E-03 1.500E+01 8.695E+00 1.000E+00 1.000E+00  0.000E+00
   122 2.019E-03 1.500E+01 8.850E+00 1.000E+00 1.000E+00  0.000E+00
   123 2.054E-03 1.500E+01 9.004E+00 1.000E+00 1.000E+00  0.000E+00
   124 2.090E-03 1.500E+01 9.159E+00 1.000E+00 1.000E+00  0.000E+00
   125 2.125E-03 1.500E+01 9.314E+00 1.000E+00 1.000E+00  0.000E+00
   126 2.160E-03 1.500E+01 9.469E+00 1.000E+00 1.000E+00  0.000E+00
   127 2.204E-03 1.500E+01 9.662E+00 1.000E+00 1.000E+00  0.000E+00
   128 2.231E-03 1.500E+01 9.778E+00 1.000E+00 1.000E+00  0.000E+00

  intg x         rem       cf2       h12       reh        st
