  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 9.95710E+02  vis= 7.97000E-04  sp_ht= 4.18000E+03
     prc(je)=    5.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 9.277E+01 2.377E-03 2.590E+00 3.151E+01  4.144E-03

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    76 7.821E-05 7.366E+00 1.514E+00 4.910E-01 7.818E-01  0.000E+00
    77 8.520E-05 7.970E+00 1.649E+00 5.313E-01 8.271E-01  0.000E+00
    78 9.262E-05 8.592E+00 1.793E+00 5.728E-01 8.682E-01  0.000E+00
    79 1.002E-04 9.202E+00 1.939E+00 6.135E-01 9.028E-01  0.000E+00
    80 1.077E-04 9.783E+00 2.085E+00 6.522E-01 9.303E-01  0.000E+00
    81 1.152E-04 1.033E+01 2.230E+00 6.888E-01 9.515E-01  0.000E+00
    82 1.227E-04 1.085E+01 2.375E+00 7.231E-01 9.673E-01  0.000E+00
    83 1.301E-04 1.133E+01 2.518E+00 7.552E-01 9.786E-01  0.000E+00
    84 1.374E-04 1.177E+01 2.661E+00 7.848E-01 9.865E-01  0.000E+00
    85 1.448E-04 1.218E+01 2.802E+00 8.119E-01 9.917E-01  0.000E+00
    86 1.520E-04 1.255E+01 2.943E+00 8.367E-01 9.951E-01  0.000E+00
    87 1.592E-04 1.289E+01 3.083E+00 8.590E-01 9.972E-01  0.000E+00
    88 1.664E-04 1.319E+01 3.222E+00 8.791E-01 9.985E-01  0.000E+00
    89 1.735E-04 1.345E+01 3.360E+00 8.969E-01 9.992E-01  0.000E+00
    90 1.806E-04 1.369E+01 3.497E+00 9.127E-01 9.996E-01  0.000E+00
    91 1.876E-04 1.390E+01 3.633E+00 9.265E-01 9.998E-01  0.000E+00
    92 1.946E-04 1.408E+01 3.768E+00 9.385E-01 9.999E-01  0.000E+00
    93 2.016E-04 1.423E+01 3.902E+00 9.489E-01 1.000E+00  0.000E+00
    94 2.085E-04 1.437E+01 4.036E+00 9.578E-01 1.000E+00  0.000E+00
    95 2.154E-04 1.448E+01 4.169E+00 9.654E-01 1.000E+00  0.000E+00
    96 2.222E-04 1.458E+01 4.302E+00 9.718E-01 1.000E+00  0.000E+00
    97 2.290E-04 1.466E+01 4.434E+00 9.771E-01 1.000E+00  0.000E+00
    98 2.358E-04 1.472E+01 4.565E+00 9.816E-01 1.000E+00  0.000E+00
    99 2.426E-04 1.478E+01 4.697E+00 9.853E-01 1.000E+00  0.000E+00
   100 2.493E-04 1.483E+01 4.827E+00 9.884E-01 1.000E+00  0.000E+00
   101 2.561E-04 1.486E+01 4.958E+00 9.908E-01 1.000E+00  0.000E+00
   102 2.628E-04 1.489E+01 5.088E+00 9.928E-01 1.000E+00  0.000E+00
   103 2.695E-04 1.492E+01 5.218E+00 9.944E-01 1.000E+00  0.000E+00
   104 2.762E-04 1.494E+01 5.348E+00 9.957E-01 1.000E+00  0.000E+00
   105 2.829E-04 1.495E+01 5.478E+00 9.967E-01 1.000E+00  0.000E+00
   106 2.896E-04 1.496E+01 5.607E+00 9.975E-01 1.000E+00  0.000E+00
   107 2.963E-04 1.497E+01 5.737E+00 9.981E-01 1.000E+00  0.000E+00
   108 3.030E-04 1.498E+01 5.866E+00 9.986E-01 1.000E+00  0.000E+00
   109 3.097E-04 1.498E+01 5.996E+00 9.990E-01 1.000E+00  0.000E+00
   110 3.164E-04 1.499E+01 6.125E+00 9.992E-01 1.000E+00  0.000E+00
   111 3.231E-04 1.499E+01 6.255E+00 9.994E-01 1.000E+00  0.000E+00
   112 3.298E-04 1.499E+01 6.384E+00 9.996E-01 1.000E+00  0.000E+00
   113 3.364E-04 1.500E+01 6.513E+00 9.997E-01 1.000E+00  0.000E+00
   114 3.431E-04 1.500E+01 6.643E+00 9.998E-01 1.000E+00  0.000E+00
   115 3.498E-04 1.500E+01 6.772E+00 9.999E-01 1.000E+00  0.000E+00
   116 3.565E-04 1.500E+01 6.901E+00 9.999E-01 1.000E+00  0.000E+00
   117 3.632E-04 1.500E+01 7.031E+00 9.999E-01 1.000E+00  0.000E+00
   118 3.698E-04 1.500E+01 7.160E+00 1.000E+00 1.000E+00  0.000E+00
   119 3.765E-04 1.500E+01 7.289E+00 1.000E+00 1.000E+00  0.000E+00
   120 3.832E-04 1.500E+01 7.419E+00 1.000E+00 1.000E+00  0.000E+00
